Train data size: 80, Validation size: 0, Test size: 20

Data sample 0 - Start index: 0, End index: 831, Chunk size: 831

------------------------------------
--- Linear Regression Classifier - TEST DATA ---

Size of test set: 166
Size of predicted set: 166

Number of estimators: -1
Randomize value: 10

Unique classes in TESTS\VALIDATION set: [0 1]
Unique classes in PREDICTED set: [0 1]

Accuracy: 0.9578
Recall: 1.00
AUC: 0.93
Mean Absolute Error (MAE): 0.04
R-squared: 0.80
              precision    recall  f1-score   support

           0       1.00      0.86      0.92        49
           1       0.94      1.00      0.97       117

    accuracy                           0.96       166
   macro avg       0.97      0.93      0.95       166
weighted avg       0.96      0.96      0.96       166

------------------------------------

------------------------------------
--- Linear Regression Classifier - TRAIN DATA ---

Size of test set: 664
Size of predicted set: 664

Number of estimators: -1
Randomize value: 10

Unique classes in TESTS\VALIDATION set: [0 1]
Unique classes in PREDICTED set: [0 1]

Accuracy: 0.9970
Recall: 1.00
AUC: 0.99
Mean Absolute Error (MAE): 0.00
R-squared: 0.97
              precision    recall  f1-score   support

           0       0.99      0.99      0.99        83
           1       1.00      1.00      1.00       581

    accuracy                           1.00       664
   macro avg       0.99      0.99      0.99       664
weighted avg       1.00      1.00      1.00       664

------------------------------------

Feature 0: Coefficient = -0.2103, Odds Ratio = 0.8103
Feature 1: Coefficient = -0.0121, Odds Ratio = 0.9880
Feature 2: Coefficient = 0.1959, Odds Ratio = 1.2164
Feature 3: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 4: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 5: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 6: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 7: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 8: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 9: Coefficient = 0.0128, Odds Ratio = 1.0129
Feature 10: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 11: Coefficient = 0.3067, Odds Ratio = 1.3589
Feature 12: Coefficient = 0.0047, Odds Ratio = 1.0047
Feature 13: Coefficient = 0.0315, Odds Ratio = 1.0320
Feature 14: Coefficient = -0.1812, Odds Ratio = 0.8343
Feature 15: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 16: Coefficient = 0.0041, Odds Ratio = 1.0041
Feature 17: Coefficient = -0.2749, Odds Ratio = 0.7596
Feature 18: Coefficient = 0.0092, Odds Ratio = 1.0093
Feature 19: Coefficient = 0.0653, Odds Ratio = 1.0675
Feature 20: Coefficient = 0.0128, Odds Ratio = 1.0129
Feature 21: Coefficient = -0.0121, Odds Ratio = 0.9880
Feature 22: Coefficient = 0.0280, Odds Ratio = 1.0284
Feature 23: Coefficient = 0.0000, Odds Ratio = 1.0000
Feature 24: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 25: Coefficient = 0.0187, Odds Ratio = 1.0188
Feature 26: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 27: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 28: Coefficient = 0.0187, Odds Ratio = 1.0188
Feature 29: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 30: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 31: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 32: Coefficient = 0.0373, Odds Ratio = 1.0380
Feature 33: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 34: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 35: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 36: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 37: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 38: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 39: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 40: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 41: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 42: Coefficient = 0.0041, Odds Ratio = 1.0041
Feature 43: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 44: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 45: Coefficient = -0.2133, Odds Ratio = 0.8079
Feature 46: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 47: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 48: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 49: Coefficient = 0.0187, Odds Ratio = 1.0188
Feature 50: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 51: Coefficient = 0.0187, Odds Ratio = 1.0188
Feature 52: Coefficient = -0.0397, Odds Ratio = 0.9611
Feature 53: Coefficient = 0.0041, Odds Ratio = 1.0041
Feature 54: Coefficient = -0.0168, Odds Ratio = 0.9833
Feature 55: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 56: Coefficient = -0.0508, Odds Ratio = 0.9504
Feature 57: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 58: Coefficient = 0.0092, Odds Ratio = 1.0093
Feature 59: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 60: Coefficient = 0.0047, Odds Ratio = 1.0047
Feature 61: Coefficient = 0.0024, Odds Ratio = 1.0024
Feature 62: Coefficient = 0.0000, Odds Ratio = 1.0000
Feature 63: Coefficient = 0.0000, Odds Ratio = 1.0000
Feature 64: Coefficient = 0.0280, Odds Ratio = 1.0284
Feature 65: Coefficient = 0.0187, Odds Ratio = 1.0188
Feature 66: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 67: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 68: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 69: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 70: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 71: Coefficient = 0.0128, Odds Ratio = 1.0129
Feature 72: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 73: Coefficient = 0.0187, Odds Ratio = 1.0188
Feature 74: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 75: Coefficient = 0.0222, Odds Ratio = 1.0224
Feature 76: Coefficient = 0.0176, Odds Ratio = 1.0177
Feature 77: Coefficient = 0.0041, Odds Ratio = 1.0041
Feature 78: Coefficient = -0.2086, Odds Ratio = 0.8118
Feature 79: Coefficient = 0.0041, Odds Ratio = 1.0041
Feature 80: Coefficient = 0.0041, Odds Ratio = 1.0041
Feature 81: Coefficient = 0.0373, Odds Ratio = 1.0380
Feature 82: Coefficient = 0.0933, Odds Ratio = 1.0978
Feature 83: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 84: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 85: Coefficient = 0.0187, Odds Ratio = 1.0188
Feature 86: Coefficient = 0.2664, Odds Ratio = 1.3052
Feature 87: Coefficient = 0.0083, Odds Ratio = 1.0084
Feature 88: Coefficient = 0.0083, Odds Ratio = 1.0084
Feature 89: Coefficient = 0.0373, Odds Ratio = 1.0380
Feature 90: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 91: Coefficient = -0.1776, Odds Ratio = 0.8372
